City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
290,Sioux Lookout,50.1,-91.92,80.6,61,75,6.93,CA,2020-07-06 21:26:22
291,Kahului,20.89,-156.47,89.6,46,40,25.28,US,2020-07-06 21:24:40
292,Puerto Cabezas,14.04,-83.39,87.8,79,75,6.93,NI,2020-07-06 21:26:22
293,Lokosovo,61.13,74.82,62.15,62,58,5.41,RU,2020-07-06 21:26:22
294,Pierre,44.37,-100.35,82.4,54,20,8.05,US,2020-07-06 21:26:22
295,Torbay,47.67,-52.73,54.0,76,75,8.05,CA,2020-07-06 21:26:22
296,Jinchang,38.5,102.17,74.3,29,48,2.95,CN,2020-07-06 21:26:23
297,Conde,-7.26,-34.91,75.2,88,75,6.93,BR,2020-07-06 21:23:08
298,Itaituba,-4.28,-55.98,93.2,49,20,8.05,BR,2020-07-06 21:26:23
299,Luderitz,-26.65,15.16,51.8,93,94,3.36,NA,2020-07-06 21:26:23
300,Belgrade,44.8,20.47,75.2,60,0,5.82,RS,2020-07-06 21:24:08
301,Quatre Cocos,-20.21,57.76,73.4,94,75,6.93,MU,2020-07-06 21:26:23
302,Santa Catalina,9.33,122.86,78.8,83,20,4.7,PH,2020-07-06 21:26:24
303,Wattegama,6.8,81.48,76.35,78,55,5.68,LK,2020-07-06 21:26:24
